customer_id,name,email,country,age,signup_date,marketing_opt_in
1,Jennifer Salinas,nicholas59@example.org,JP,71,9/4/2020,TRUE
2,Phillip Ramos,christinarubio@example.com,IN,26,4/5/2020,FALSE
3,Dawn Fowler,jessica03@example.org,BR,21,8/31/2023,TRUE
4,Mario Butler,paula27@example.org,FR,63,6/30/2022,TRUE
5,Amber Brown,kevin85@example.net,BR,19,7/22/2022,TRUE
6,Kevin Chapman,michaelpoole@example.org,US,28,10/21/2020,FALSE
7,Timothy Sanchez,shannonbrown@example.org,IN,48,7/24/2025,FALSE
8,Rachael Morales,tammy08@example.com,GB,33,10/9/2022,TRUE
9,Laura Guzman,awright@example.org,US,32,7/29/2024,TRUE
10,Alexander Lopez,brianmaxwell@example.org,JP,39,1/13/2023,TRUE
11,Mary Gonzalez,mgonzalez@example.net,MX,68,1/11/2022,TRUE
12,Margaret Li,williambrown@example.net,US,70,5/16/2021,FALSE
13,Steve Logan,brookssamuel@example.com,AU,41,8/13/2023,TRUE
14,Matthew Thompson,greendawn@example.org,SG,28,1/13/2021,TRUE
15,Paul Neal,jennifer48@example.net,AU,52,6/14/2020,TRUE
16,Richard Mills,kenneth31@example.net,JP,51,6/20/2023,FALSE
17,David Young,shirleyreese@example.com,US,31,5/15/2025,TRUE
18,James Burke,osolomon@example.net,IN,45,2/12/2020,FALSE
19,Dr. Kimberly Kennedy,mathewssamuel@example.net,AU,57,7/1/2021,FALSE
20,Stephen Mccormick,edean@example.net,AE,33,6/2/2022,TRUE
21,Brianna Johnson,howellevan@example.org,US,73,3/26/2020,TRUE
22,Amanda Taylor,terryjillian@example.org,AU,59,3/17/2022,FALSE
23,Pamela Gonzalez,hobbskatelyn@example.net,US,22,1/10/2025,FALSE
24,Ashley Harris,johnsonstacy@example.net,GB,22,4/30/2023,FALSE
25,Paul Chen,ggarcia@example.net,US,41,7/22/2024,TRUE
26,Francis Coleman,bellsarah@example.org,US,49,9/27/2024,FALSE
27,Isabel Flores,nyork@example.net,IN,35,5/4/2024,FALSE
28,Jason Graham,reedjanet@example.net,US,24,10/30/2023,TRUE
29,Michelle Carey,george08@example.org,FR,62,5/11/2023,TRUE
30,Paul Brown,travis72@example.com,MX,47,10/21/2020,TRUE
31,Tina Robertson,justinlewis@example.net,US,71,10/2/2021,FALSE
32,Christopher Mcmillan,henryvickie@example.net,MX,69,11/27/2020,TRUE
33,Lori Kelly,vmcfarland@example.org,GB,18,11/8/2022,FALSE
34,Matthew Watson,jose88@example.org,MX,28,8/13/2020,FALSE
35,Stephen Hall,mmartinez@example.net,PL,60,8/17/2025,TRUE
